,email,label_1,label_2,final_label
1,"A decision will be made this evening on whether to exercise the GOI counter 
guarantee for the month of January.  As discussed, if we proceed with this 
action, we will want to continue past practice and issue a DPC press 
release.  Please note that the fourth paragraph to the draft release includes 
wording indicating growing lender concern.  As a consequence, we would 
appreciate your (IR) concurrence as well as any comments on this approach.

Thanks,

John ",Read Later,Action Required,disagree
4,"Earlier today DPC notified the government of Maharashtra that they were 
initiating arbitration over the GoM's failure to live up to it's state 
support agreements.  There have not yet been any media inquiries, but expect 
the issue to be covered tomorrow.  Attached for your information is the 
statement we will use to respond.

John",Action Required,Neither,disagree
6,"As indicated on the voice mail, here is our idea of what the EA should look 
like.

I really appreciate the help you are providing us on such a short notice.

Thanks,

Miguel Vasquez",Action Required,Read Later,disagree
8,"There will be a meeting on Tuesday, Dec. 5th in EB 21C2 from 3:00pm - 
4:00pm.  This will be a follow-up meeting to discuss the payment module.  
Please plan to attend.  If there are any conflicts with the meeting time,  
please contact me at x31914.

Thanks,
Brenda",Action Required,Read Later,disagree
11,"Hi - I just wanted to give you a quick run down on the meeting yesterday.  
Three people spoke at the meeting - Jeff McMahon, Louise and Philippe.  There 
was a lot of attention given to EnronOnline and it's success.  Greg Whalley 
spoke via satellite from London.  The basic theme was what it is going to 
take to survive in today's fast moving markets and how we are going to get 
there, and that in five years all businesses will be Internet companies or 
not companies at all.....  

Greg spoke briefly about what we were going to do to upgrade and expand 
existing platforms and the fact that no other player in the industry can do 
this but us because of our financial capabilities, reputation, and IT 
resources.  

Louise went over statistics, products offered, etc. on EnronOnline.

Philippe discussed all the IT projects in the works - the key one for ENA was 
enhancement of deal capture, valuation and settlements (no surprises 
there!).  One other common theme was streamlining our current systems.   He 
also confirmed the fact that we were moving from Lotus Notes to Exchange, and 
discussed the fact that we were running out of space in the building for our 
equipment (and the ability to keep the room cool) so they were looking to 
Ardmore for this.  

Jeff M. stated that we were looking for opportunities to capitalize on 
inefficiencies in the market, and get into other industries (e.g. MG Metals 
in Europe).  He also stated that Enron was going to Venture Capitalists for 
financial support and backing.  Of course, this means that Enron will have to 
give up some control, but it leads to increased deal flow, market share and 
new ideas....  He said the initial backing will be in the neighborhoods of 
$1B - most likely in Q3.  

I tried to capture the main topics, let me know if you have any questions!

Sheri",Read Later,Action Required,disagree
19,"Hector, this is to verify our conversation regarding the increase in annual 
base salary for Jesse Villarreal from $50,160 to $56,000.

 If possible please process the increase to be effective October 1.

Jesse is a Specialist in cost center 105603 on the Logistics East scheduling 
team reporting to Manager Ed Terry.

Both Sally and Bob have agreed to this change.

Let me know if you need any additional info., thanks - Bob Superty ",Read Later,Action Required,disagree
25,"Mary

I am putting together an analysis of these guys right now since they just 
came on the scene.  I want to talk to Tom more about this company before I 
finish the document because he has a great contact there. The JV with Prebon 
Yamane is not that strong but having Amerex and The Bank of New York is 
huge.  Please keep me informed of any other information you hear about Energy 
Clear or any other potential competition.  Thanks.

James",Action Required,Neither,disagree
28,"Sally,

Are you aware of the problems with SAP?  This error caused an incremental 
$600,000 credit loss to Perry Gas Companies that could have been prevented.

Let me know if you have any questions.

Bill",Action Required,Read Later,disagree
30,"Sally,  it doesn't appear that the fax machines already in ECS will be sufficient for your needs.  Let me know if you would like us to assist your group in getting additional fax machines.  I have to believe that there are numerous excess machines around here.   JR",Action Required,Read Later,disagree
34,"Dear Energy Operations:

As I have reflected upon the accomplishments of this group, I wanted to 
express my appreciation for all the hard work and dedication that you have 
demonstrated.  We have done great work and I want to recognize you for that.  

Although we have done much, we have much yet to do.  Therefore, as we go 
forward, I want to make sure that you have all the necessary tools to do the 
best possible job, and that any barriers that may impede your work are 
removed.

To help in this effort, I have asked a consulting organization -- S.J. Bashen 
Corporation -- to survey our organization; to """"take its pulse"""" if you will; 
to help us understand what we do well and not so well; in essence, to assist 
us in acquiring the """"necessary tools"""" and breaking down any """"barriers.""""  SJBC 
is comprised of seasoned consultants who assist organizations like our to 
help on issues like this.  SJBC will meet with members of our group in a 
private setting where we can highlight our successes, discuss our concerns, 
ask our questions, make our comments, and the like.  This collective 
information (who said what is not disclosed) then is studied by SJBC with the 
goal of providing us an opinion regarding our strengths and weaknesses.

Many of you will be receiving a phone call in the near future from a SJBC 
consultant.  Please schedule a time to partcipate at your earliest 
opportunity, as this effort will be a success for our group only if we 
cooperate to the fullest extent.  Of course, given the size of our group, it 
will not be possible to meet with each of you.  Therefore, if you have not 
received a call from SJBC by August 15 but would like to share your thoughts 
with them, please feel free to contact Cheryl Brown at 713.780.8056 and 
Cheryl will be glad to include you in our survey.

Communication is one of Enron's core values.  I want to stress that, only by 
open communication will this survey be a success.  Please be candid.  Thank 
you.

Sally",Read Later,Action Required,disagree
