"HITID","email","Worker","Answer","Date"
"30IRMPJWDYIC8N1GK9DFBU99VOFRKS","I didn't see this in the competitive analysis folder.  As always, it is good 
to know you are on top of it.","A2YJQUHFIXNOY0","Neither","2017-09-12 04:38:40 UTC"
"3XUY87HIVODG1VOR0DUE4873E6BMM4","Just wanted to thank you for last Thursday's presentation to the new hire 
Associates and Analysts.  I appreciate the time and effort spent on the 
presentation.

Sincerely,
Maricela Trevino","A1NKBXOTZAI1YK","Read Later","2017-09-12 04:38:50 UTC"
"35U0MRQMUI6NRL3CRLAIJ8FL0Z2OV2","Brenda - It would be best if you check with Marvia regarding my schedule 
before scheduling a meeting.  I will be in a PRC meeting all afternoon on 
Tuesday.
  Also - don't you think you should invite Sally as well?","A1NKBXOTZAI1YK","Action Required","2017-09-12 04:39:16 UTC"
"3TFJJUELSGODL587D6HGM3OTENQC2L","Dear Sally,

I'm looking forward to start working on the 22nd.  I've arranged to have the
first day orientation as well as PC training on this date, which will last
until about 4:30.

I'm putting together some thoughts on how to best ""kick off"" my roles and
responsibilities and was wondering if you would be able to meet at 4:30 on
the 22nd to go over this.

I'm available through tomorrow at 713 356 4086 and the rest of the week at
713 628 7570.

Best regards,

Shona","A3HZT1JQU1PFB8","Action Required","2017-09-12 04:38:18 UTC"
"3P0I4CQYVX606A3HHVFE5AYZ784OWC","Souad has been cleared for employment with a start date of Monday, February 
21, 2000.  She will assume a Sr. Specialist role in the Risk Mgmt - 
Physical/Financial group.  She is scheduled for orientation from 8 - 5 pm, 
reporting to you Tuesday morning.  I have contacted Souad with her first day 
instructions.  For your set-up purposes, her ss# is 456.81.6050.  

Let me know if I can be of further assistance.

Thanks!
Gail","A1NKBXOTZAI1YK","Action Required","2017-09-12 04:39:10 UTC"
"36MUZ9VAE51FLDQ16M7S8AF0WQSEDP","Please review and e-mail me your comments.

Thanks","A1NKBXOTZAI1YK","Action Required","2017-09-12 04:39:20 UTC"
"33QQ60S6ARH2BPMTKAY2XLHKOPDU0T","Mary

I am putting together an analysis of these guys right now since they just 
came on the scene.  I want to talk to Tom more about this company before I 
finish the document because he has a great contact there. The JV with Prebon 
Yamane is not that strong but having Amerex and The Bank of New York is 
huge.  Please keep me informed of any other information you hear about Energy 
Clear or any other potential competition.  Thanks.

James","A3HZT1JQU1PFB8","Neither","2017-09-12 04:38:46 UTC"
"32W3UF2EZNKNOJNUHK04FILRY1MC4H","NAME	TITLE	DOH	BADGE	HR REP	SUPERVISOR	CO/RC
Griffin, Rebecca	Spec	6/19	yes	H.
				McLoughlin	Lisa Csikos	5-413
						0688
Myers, Donnie	Spec	6/19	yes	H.
				McLoughlin	Bryce Baxter	5-413
						2631
Schultz, Michelle	Spec	6/19	yes	H.
				McLoughlin	Kim Theriot	5-413
						0261","A2S96ZZ70YFPSK","Read Later","2017-09-12 04:39:10 UTC"
"37ZQELHEQZXMJD9RCE9EHNW3JWLMN4","Leslie Reeves is working on the Tom Gros project (let me know if you need 
details on this).  She has asked for top 25 counterparties on EnronOnline.   
In short, there is a new Texas law in the works that will allow for 
electronic confirming of deals, and they want to determine if any of the top 
25 are Texas companies so that we can pursue confirming deals 
electronically.  

Just wanted to get your approval before sending it on to her.

thanks
Sheri","A3HZT1JQU1PFB8","Action Required","2017-09-12 04:39:04 UTC"
"3ATYLI1PRS1E0Q3IAWWZGK4R5CVJOC","Hello!

We are the Elves in Black and we are having a Holiday Raffle in the Enron 
Lobby to raise money for the Analyst & Associate Adopt-A-Family Program. Our 
table is located near the big Christmas tree and the escalators that go up to 
the Energizer. We are selling raffle tickets, 1 for $1 or 6 for $5, December 
4-7 from 11:00-2:00. The prize is a Night on the Town: $100 Papas gift card 
and two tickets to the play, ""A Christmas Carol"" showing at the Alley Theatre 
on Sunday, December 17 at 7:30 PM. The winning ticket will be picked later 
this week. Even if your ticket is not picked, you are still a winner by 
helping support this great program!

For more information please contact Khrissy Griffin (5-4997).

Thank you, The Elves in Black","A1NKBXOTZAI1YK","Read Later","2017-09-12 04:39:45 UTC"
"3OJX0UFJ0Y6K7JA6K6HVQWIDRT79UK","Mr. Hall,
I have just reviewed the Merchant Portfolio Summary for 6/20 and have the 
following questions:
 1) CALME shows an asset of $291.9MM  and APACHI shows an asset of $113.0MM 
and they show no p&l for the year
  Is this possible in a world of changing interest rates and equity premiums 
and commodity prices?
 2) India recently invested in an IPO (rediff.com) for which there was a 
simultaneous DASH to buy and sell (sounds like a Merchant deal).
  Where does this show up?
 3) There are several bonds (publicly traded, registrered securities, housed 
in our Prime Broker accounts) owned by various Enron entities
  that I do not believe are on the DPR.  Shouldn't they be? And if so, who is 
deciding not to include?
Pls advise at your earliest convenience as you always do.
Thanks
Ted","A3HZT1JQU1PFB8","Read Later","2017-09-12 04:38:28 UTC"
"32CAVSKPCDO2IE7BGT22BQ0UTHJU1W","Hi - I just wanted to give you a quick run down on the meeting yesterday.  
Three people spoke at the meeting - Jeff McMahon, Louise and Philippe.  There 
was a lot of attention given to EnronOnline and it's success.  Greg Whalley 
spoke via satellite from London.  The basic theme was what it is going to 
take to survive in today's fast moving markets and how we are going to get 
there, and that in five years all businesses will be Internet companies or 
not companies at all.....  

Greg spoke briefly about what we were going to do to upgrade and expand 
existing platforms and the fact that no other player in the industry can do 
this but us because of our financial capabilities, reputation, and IT 
resources.  

Louise went over statistics, products offered, etc. on EnronOnline.

Philippe discussed all the IT projects in the works - the key one for ENA was 
enhancement of deal capture, valuation and settlements (no surprises 
there!).  One other common theme was streamlining our current systems.   He 
also confirmed the fact that we were moving from Lotus Notes to Exchange, and 
discussed the fact that we were running out of space in the building for our 
equipment (and the ability to keep the room cool) so they were looking to 
Ardmore for this.  

Jeff M. stated that we were looking for opportunities to capitalize on 
inefficiencies in the market, and get into other industries (e.g. MG Metals 
in Europe).  He also stated that Enron was going to Venture Capitalists for 
financial support and backing.  Of course, this means that Enron will have to 
give up some control, but it leads to increased deal flow, market share and 
new ideas....  He said the initial backing will be in the neighborhoods of 
$1B - most likely in Q3.  

I tried to capture the main topics, let me know if you have any questions!

Sheri","A1NKBXOTZAI1YK","Action Required","2017-09-12 04:39:37 UTC"
"33W1NHWFYGKKDXDUOZLKYOY4NIPTZT","Good morning.  I'm attaching the agenda for this week.  After you speak to 
Sally regarding the audio visual needs, please page me @ 1-877-497-7713.

Thank you,
Maricela Trevino","A1NKBXOTZAI1YK","Action Required","2017-09-12 04:40:02 UTC"
"3T8DUCXY0M5576VHK1RLL0WB8F09TT","There will be a meeting on Tuesday, Dec. 5th in EB 21C2 from 3:00pm - 
4:00pm.  This will be a follow-up meeting to discuss the payment module.  
Please plan to attend.  If there are any conflicts with the meeting time,  
please contact me at x31914.

Thanks,
Brenda","A1NKBXOTZAI1YK","Read Later","2017-09-12 04:40:10 UTC"
"3H1C3QRA00I5GLKN6QCHO4XIBQGECP","Communication is one of Enron=01,s key values.   In our continuing effort to
increase communication with our customers, Enron Net Works is hosting a
Technology Showcase.  The purpose of this showcase is to keep you, our
customer, aware of the tools available to you today as well as plans for the
future.  Come see and hear about the future of Laptops, Desktops,
Operating Systems, Messaging, and much more.

Date: Friday, May 19, 2000
Time: 10:00 - 2:00
Place: Enron Plaza

Come join the fun and learn more about:\

Demonstrations
Information Booths
Prizes (Must complete survey to be eligible for drawing.)

So, mark your calendars and don=01,t forget to stop by and see your
Technology Team in Action!  We look forward to seeing you there!

Susan Lopez
Director, Customer Care
713-853-7947","A1NKBXOTZAI1YK","Read Later","2017-09-12 04:39:57 UTC"
"3D4BBDG7ZGV26N4QH6VL5DTLK1QC3W","Sally

I would welcome the opportunity to walk you through these presentations if 
you have time. It has been 6 weeks - 2 months since we did an integration 
update for Rick and hopefully this will demonstrate that we are out of 
integration and managing more in the line as if it was any other business - 
with it's usual set of problems.

I am also using this report to update Joe Gold who has been moved by the 
office of the chair to President of the EnronMetals Group 

Hope all is well 

Mike ","A1NKBXOTZAI1YK","Read Later","2017-09-12 04:40:34 UTC"
